Q1,您的性别,性别题
,本题选项:,
,2,男
,1,女
Q2,您的年龄,填空题
,本题选项:,
,1,填空1
Q3,您目前的职业是？,单选题
,本题选项:,
,1,在校中小学生
,14,在校大学生
,7,公职公务人员/企业组织管理者
,5,职员/工农渔从业者/销售服务人员
,4,专业人员（如教师、医生、律师等）
,9,个体经营者/承包商/自由职业者
,12,暂无职业/已退休
,13,其他职业人员（请注明）
Q4,您来自或常驻的城市,城市题
,本题选项:,
,3,省份
,4,城市
Q5,您每月用于自己的生活花费大致是？,下拉题
,本题选项:,
,1,1000元以内
,2,1000-1500元
,3,1500-2000元
,4,2000-2500元
,8,2500-3000元
,9,3000-5000元
,5,5000-7500元
,6,7500-10000元
,7,10000元以上
Q6,您平均一周购买茶饮的次数？,下拉题
,本题选项:,
,1,1杯以内
,2,2-4杯
,3,5-7杯
,4,8-10杯
,5,11杯以上
Q7,你经常喝的饮品品牌是？,多选题
,本题选项:,
,4,快餐定位品牌（如：肯德基、麦当劳、永和等）
,1,大众定位品牌（如：蜜雪冰城、甜啦啦、益禾堂等）
,2,中档定位品牌（如：一点点、茶颜悦色、coco等）
,3,高档定位品牌（如：喜茶、奈雪的茶、星巴克等）
Q8,您更加偏爱选择（或最常购买）的茶饮档次是？,单选题
,本题选项:,
,1,快餐定位品牌
,2,大众定位品牌
,3,中档定位品牌
,4,高档定位品牌
Q9,为了响应国家环保政策和规定，部分茶饮店采用纸质吸管替代塑料吸管，您对这一措施的接受情况如何？,单选题
,本题选项:,
,2,能很好的接受
,1,起初并不适应，但能逐渐接受
,3,不太能接受，比较不习惯
,4,完全无法接受
Q10,您认为茶饮店使用纸质吸管替代塑料吸管，对饮用饮品的体验有何不良影响？,多选题
,本题选项:,
,6,纸质吸管在插入饮品时更加困难
,2,饮用饮品时会有“纸味”，影响口感
,1,饮用热饮时，纸质吸管更易变形或破损
,3,饮用饮品内所加的小料时更加困难
,5,其他（请说明）
,4,我能够接受，没有影响
Q11,您对茶饮店使用的纸质吸管有何顾虑？,多选题
,本题选项:,
,1,担心纸质吸管的原料不够安全，危害身体健康
,2,担心“纸味”给人以极度不适的饮用体验
,5,担心纸质吸管相比塑料吸管的卫生性难以保障
,3,其他（请说明）
,4,我能够接受，完全没有顾虑
Q12,茶饮品牌采用纸质吸管是否会影响您的消费欲望？,单选题
,本题选项:,
,2,因为无法接受，我会放弃消费这一品牌的饮品
,4,因为体验不佳，会减少这一品牌茶饮的消费欲望
,1,尽管有所不适，仍会选择接受，照常购买
,3,完全能够接受纸质吸管替代塑料吸管，没有影响
Q13,从环保的角度而言，您是否支持茶饮店采用纸质吸管替代塑料吸管这一方案？您认为此方案对于环保而言有何深远影响？,单选题
,本题选项:,
,1,支持，此举能一定程度上减少塑料污染，促进环保
,3,支持，此举能够使消费者形成新的习惯，使环保理念深入人心
,2,不支持，有应对政策的形式之嫌，并非真正意义的环保理念
,4,不支持，在消费时我仅关心消费体验，并不在乎环保问题
,5,不支持，希望茶饮店能采用其他同样环保的替代方案
Q14,为了响应国家环保政策和规定，部分茶饮店采用“直饮盖”模式，取消了吸管的设置而改成直接对盖饮用，您对这一措施的接受情况如何？,单选题
,本题选项:,
,2,能很好的接受
,1,起初并不适应，但能逐渐接受
,4,不太能接受，比较不习惯
,3,完全无法接受
Q15,您认为茶饮店使用“直饮盖”模式，对饮用饮品的体验有何不良影响？,多选题
,本题选项:,
,5,非吸管的饮用模式下，部分类别的饮品的口感受到影响
,2,饮用热饮时非常不方便
,1,饮用饮品内所加的小料时更加困难
,3,其他（请说明）
,4,我能够接受，没有影响
Q16,您对茶饮店使用的“直饮盖”模式有何顾虑？,多选题
,本题选项:,
,1,担心茶饮的携带更加困难，容易泼洒
,2,担心饮用的方式不如吸管模式优雅
,3,担心直饮盖密封性不好而导致饮品泼洒，造成麻烦
,4,其他（请说明）
,5,我能够接受，完全没有顾虑
Q17,如果茶饮品牌因为采用特制的“直饮盖”而导致产品成本上涨，产品价格随之上涨，这是否会影响您的消费欲望？,单选题
,本题选项:,
,3,完全无法接受，消费者不应该为此买单
,4,不大能够接受，消费欲望降低
,1,尽管不完全接受，但仍会照常购买
,2,完全能够接受，没有影响
Q18,从环保的角度而言，您是否支持茶饮店采用“直饮盖”模式这一方案？您认为此方案对于环保而言有何深远影响？,单选题
,本题选项:,
,3,支持，此举能一定程度上减少塑料污染，促进环保
,2,支持，此举能够使消费者形成新的习惯，使环保理念深入人心
,5,不支持，有应对政策的形式之嫌，并非真正意义的环保理念
,4,不支持，在消费时我仅关心消费体验，并不在乎环保问题
,1,不支持，希望茶饮店能采用其他同样环保的替代方案
Q19,为了响应国家环保政策和规定，部分茶饮店采用PLA（聚乳酸）可降解吸管替代普通塑料吸管，您对这一措施的接受情况如何？,单选题
,本题选项:,
,3,能很好的接受
,1,起初并不适应，但能逐渐接受
,2,不太能接受，比较不习惯
,4,完全无法接受
Q20,如果茶饮品牌因为采用可降解塑料吸管替代普通塑料吸管，导致产品成本上涨，产品价格随之上涨，这是否会影响您的消费欲望？,单选题
,本题选项:,
,1,完全无法接受，消费者不应该为此买单
,4,不大能够接受，消费欲望降低
,3,尽管不完全接受，但仍会照常购买
,2,完全能够接受，没有影响
Q21,如果某茶饮店默认提供纸质吸管，可以通过额外支付少量费用将其替换为与普通塑料吸管体验感无差异的可降解塑料吸管，您是否愿意支付替换？,单选题
,本题选项:,
,2,是
,1,否
Q22,从环保的角度而言，您是否支持茶饮店采用PLA（聚乳酸）可降解吸管替代普通塑料吸管这一方案？您认为此方案对于环保而言有何深远影响？,单选题
,本题选项:,
,1,支持，此举能一定程度上减少塑料污染，促进环保
,2,支持，此举能够使消费者形成新的习惯，使环保理念深入人心
,3,不支持，有应对政策的形式之嫌，并非真正意义的环保理念
,4,不支持，在消费时我仅关心消费体验，并不在乎环保问题
,5,不支持，希望茶饮店能采用其他同样环保的替代方案
Q23,如果茶饮店通过销售或赠送可反复使用的典藏茶饮杯方式来提倡环保，您对于此举的接受情况如何？,单选题
,本题选项:,
,2,十分支持，并积极响应
,1,支持其作为一种宣传或营销策略，但还是由于自带杯不如一次性杯方便而持保留态度
,3,不支持，过于麻烦，影响茶饮出货效率
,4,无所谓支持或不支持
Q24,如茶饮店采用优惠策略，如“自带杯无论多大加满”、“购买指定杯可享多次续杯”等来鼓励环保，您对此怎么看？,单选题
,本题选项:,
,2,很感兴趣，愿意尝试
,3,略有兴趣，观望态度
,1,没兴趣，继续使用一次性杯具
Q25,[选填]如果您有兴趣，可以在此留下可以联系到您的方式，我们最后可能会抽取幸运的小朋友送出小小的surprise。除此之外，您的联系方式不会被以任何形式利用和泄露。,填空题
,本题选项:,
,1,填空1
